127.0.0.1, 2020-07-12 22:05:26, GET, /marisacatto/default/finalizar.html, HTTP/1.1, 404, 0.148215
127.0.0.1, 2020-07-12 22:05:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000203
127.0.0.1, 2020-07-12 22:05:29, GET, /marisacatto/, HTTP/1.1, 200, 0.015408
127.0.0.1, 2020-07-12 22:05:29, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000382
127.0.0.1, 2020-07-12 22:05:29, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.002313
127.0.0.1, 2020-07-12 22:05:29, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000307
127.0.0.1, 2020-07-12 22:05:29, GET, /marisacatto/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000448
127.0.0.1, 2020-07-12 22:05:29, GET, /marisacatto/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000481
127.0.0.1, 2020-07-12 22:05:29, GET, /marisacatto/static/css/calendar.css, HTTP/1.1, 304, 0.000416
127.0.0.1, 2020-07-12 22:05:29, GET, /marisacatto/static/js/jquery.js, HTTP/1.1, 304, 0.000412
127.0.0.1, 2020-07-12 22:05:29, GET, /marisacatto/static/js/calendar.js, HTTP/1.1, 304, 0.000372
127.0.0.1, 2020-07-12 22:05:29, GET, /marisacatto/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000370
127.0.0.1, 2020-07-12 22:05:29, GET, /marisacatto/static/js/web2py.js, HTTP/1.1, 304, 0.000413
127.0.0.1, 2020-07-12 22:05:30, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000343
127.0.0.1, 2020-07-12 22:05:30, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000269
127.0.0.1, 2020-07-12 22:05:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
127.0.0.1, 2020-07-12 22:05:31, GET, /marisacatto/products/index, HTTP/1.1, 200, 0.026931
127.0.0.1, 2020-07-12 22:05:31, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000276
127.0.0.1, 2020-07-12 22:05:31, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000325
127.0.0.1, 2020-07-12 22:05:31, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000533
127.0.0.1, 2020-07-12 22:05:31, GET, /marisacatto/default/download/produtos.imagemdoproduto.82e8704da838c343.3438383231322e6a7067.jpg, HTTP/1.1, 304, 0.013219
127.0.0.1, 2020-07-12 22:05:31, GET, /marisacatto/default/download/produtos.imagemdoproduto.a8f722026dcbbfda.696d616765732e6a7067.jpg, HTTP/1.1, 304, 0.013164
127.0.0.1, 2020-07-12 22:05:31, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000350
127.0.0.1, 2020-07-12 22:05:31, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000336
127.0.0.1, 2020-07-12 22:05:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000250
127.0.0.1, 2020-07-12 22:05:33, GET, /marisacatto/default/vendas, HTTP/1.1, 303, 0.016651
127.0.0.1, 2020-07-12 22:05:33, GET, /marisacatto/default/user/login, HTTP/1.1, 200, 0.016093
127.0.0.1, 2020-07-12 22:05:33, GET, /marisacatto/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000347
127.0.0.1, 2020-07-12 22:05:33, GET, /marisacatto/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000314
127.0.0.1, 2020-07-12 22:05:35, POST, /marisacatto/default/user/login, HTTP/1.1, 303, 0.211752
127.0.0.1, 2020-07-12 22:05:35, GET, /marisacatto/default/vendas, HTTP/1.1, 200, 0.016307
127.0.0.1, 2020-07-12 22:05:35, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000282
127.0.0.1, 2020-07-12 22:05:35, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000206
127.0.0.1, 2020-07-12 22:05:35, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.001357
127.0.0.1, 2020-07-12 22:05:35, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000340
127.0.0.1, 2020-07-12 22:05:35, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000343
127.0.0.1, 2020-07-12 22:05:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2020-07-12 22:05:36, GET, /marisacatto/default/cart_form.html, HTTP/1.1, 200, 0.017001
127.0.0.1, 2020-07-12 22:05:36, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000277
127.0.0.1, 2020-07-12 22:05:36, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000409
127.0.0.1, 2020-07-12 22:05:36, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000990
127.0.0.1, 2020-07-12 22:05:36, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000349
127.0.0.1, 2020-07-12 22:05:36, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000220
127.0.0.1, 2020-07-12 22:05:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000282
127.0.0.1, 2020-07-12 22:07:57, GET, /, HTTP/1.1, 200, 0.070024
127.0.0.1, 2020-07-12 22:07:57, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000362
127.0.0.1, 2020-07-12 22:07:57, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.010460
127.0.0.1, 2020-07-12 22:07:57, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.019695
127.0.0.1, 2020-07-12 22:07:57, GET, /favicon.ico, HTTP/1.1, 404, 0.000376
127.0.0.1, 2020-07-12 22:08:04, GET, /index, HTTP/1.1, 200, 0.016294
127.0.0.1, 2020-07-12 22:08:04, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.005219
127.0.0.1, 2020-07-12 22:08:04, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.014326
127.0.0.1, 2020-07-12 22:08:04, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.031916
127.0.0.1, 2020-07-12 22:08:04, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.009556
127.0.0.1, 2020-07-12 22:08:04, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.011313
127.0.0.1, 2020-07-12 22:08:12, GET, /products, HTTP/1.1, 200, 0.016092
127.0.0.1, 2020-07-12 22:08:12, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000620
127.0.0.1, 2020-07-12 22:08:12, GET, /download/produtos.imagemdoproduto.a8f722026dcbbfda.696d616765732e6a7067.jpg, HTTP/1.1, 200, 0.021407
127.0.0.1, 2020-07-12 22:08:12, GET, /download/produtos.imagemdoproduto.82e8704da838c343.3438383231322e6a7067.jpg, HTTP/1.1, 200, 0.031999
127.0.0.1, 2020-07-12 22:08:12, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.034857
127.0.0.1, 2020-07-12 22:08:12, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.034753
127.0.0.1, 2020-07-12 22:08:12, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.009197
127.0.0.1, 2020-07-12 22:11:13, GET, /vendas, HTTP/1.1, 200, 0.015979
127.0.0.1, 2020-07-12 22:11:13, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000342
127.0.0.1, 2020-07-12 22:11:13, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.011129
127.0.0.1, 2020-07-12 22:11:13, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.019864
127.0.0.1, 2020-07-12 22:11:13, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.011661
127.0.0.1, 2020-07-12 22:11:14, GET, /cart_form.html, HTTP/1.1, 200, 0.021259
127.0.0.1, 2020-07-12 22:11:14, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000371
127.0.0.1, 2020-07-12 22:11:14, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.018380
127.0.0.1, 2020-07-12 22:11:14, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.021570
127.0.0.1, 2020-07-12 22:13:42, GET, /cart_form.html, HTTP/1.1, 500, 0.091906
127.0.0.1, 2020-07-12 22:13:43, GET, /admin/default/ticket/marisacatto/127.0.0.1.2020-07-12.22-13-41.bd4d01ca-3749-4835-b17e-4d8bb8239bf2, HTTP/1.1, 303, 0.064214
127.0.0.1, 2020-07-12 22:13:43, GET, /admin, HTTP/1.1, 200, 0.024450
127.0.0.1, 2020-07-12 22:13:48, POST, /admin, HTTP/1.1, 303, 0.010141
127.0.0.1, 2020-07-12 22:13:48, GET, /admin/default/ticket/marisacatto/127.0.0.1.2020-07-12.22-13-41.bd4d01ca-3749-4835-b17e-4d8bb8239bf2, HTTP/1.1, 200, 0.034943
127.0.0.1, 2020-07-12 22:14:41, GET, /cart_form.html, HTTP/1.1, 200, 0.019341
127.0.0.1, 2020-07-12 22:14:41, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000405
127.0.0.1, 2020-07-12 22:14:41, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.009986
127.0.0.1, 2020-07-12 22:14:41, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.013416
127.0.0.1, 2020-07-12 22:14:41, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.009906
127.0.0.1, 2020-07-12 22:14:41, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.009716
127.0.0.1, 2020-07-12 22:14:44, POST, /cart_form.html, HTTP/1.1, 200, 0.021989
127.0.0.1, 2020-07-12 22:14:44, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000337
127.0.0.1, 2020-07-12 22:14:44, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.031496
127.0.0.1, 2020-07-12 22:14:44, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.044032
127.0.0.1, 2020-07-12 22:16:57, POST, /cart_form.html, HTTP/1.1, 200, 0.018473
127.0.0.1, 2020-07-12 22:16:57, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000391
127.0.0.1, 2020-07-12 22:16:57, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.013508
127.0.0.1, 2020-07-12 22:16:57, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.021330
127.0.0.1, 2020-07-12 22:16:57, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.013642
127.0.0.1, 2020-07-12 22:17:09, POST, /cart_form.html, HTTP/1.1, 200, 0.020275
127.0.0.1, 2020-07-12 22:17:09, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000387
127.0.0.1, 2020-07-12 22:17:09, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.015247
127.0.0.1, 2020-07-12 22:17:09, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.013142
127.0.0.1, 2020-07-12 22:17:09, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.008685
127.0.0.1, 2020-07-12 22:17:09, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.009734
127.0.0.1, 2020-07-12 22:17:27, POST, /cart_form.html, HTTP/1.1, 200, 0.020854
127.0.0.1, 2020-07-12 22:17:27, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000356
127.0.0.1, 2020-07-12 22:17:27, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.010300
127.0.0.1, 2020-07-12 22:17:27, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.012479
127.0.0.1, 2020-07-12 22:17:27, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.011602
127.0.0.1, 2020-07-12 22:17:27, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.009494
127.0.0.1, 2020-07-12 22:17:33, POST, /cart_form.html, HTTP/1.1, 200, 0.018673
127.0.0.1, 2020-07-12 22:17:33, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000334
127.0.0.1, 2020-07-12 22:17:33, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.009871
127.0.0.1, 2020-07-12 22:17:33, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.010895
127.0.0.1, 2020-07-12 22:17:36, GET, /vendas, HTTP/1.1, 200, 0.014959
127.0.0.1, 2020-07-12 22:17:36, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000384
127.0.0.1, 2020-07-12 22:17:36, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.013623
127.0.0.1, 2020-07-12 22:17:36, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.023213
127.0.0.1, 2020-07-12 22:17:36, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.008910
127.0.0.1, 2020-07-12 22:17:37, GET, /cart_form.html, HTTP/1.1, 200, 0.018855
127.0.0.1, 2020-07-12 22:17:37, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000347
127.0.0.1, 2020-07-12 22:17:37, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.010347
